nid,nguid,nmod,nusn,ntags,nflds,nmodel
1292382793822,eIG@_e2U}Y,1419257804,1606,[],"['Indiana', '<img src=""1280px-Indiana_in_United_States.svg.png"" />', 'IN', 'Indianapolis', 'Indianapolis', 'Illinois, Kentucky, Michigan, Ohio', '<img src=""53caa0df9700dcf353bb9d90e52d1c42.gif"" />', 'The Hoosier State', '<img src=""blankmap.jpg"" />', 'y']",States
1292382869328,pR)$SIa!|c,1419257759,1606,[],"['Iowa', '<img src=""1280px-Iowa_in_United_States.svg.png"" />', 'IA', 'Des Moines', 'Des Moines', 'Illinois, Nebraska, Minnesota, Missouri, South Dakota, Wisconsin', '<img src=""25a8558db1a6e036723e9617d11c2f9e.gif"" />', 'The Hawkeye State', '<img src=""blankmap.jpg"" />', 'y']",States
1292382919982,jcA&Z9B]+d,1419257725,1606,[],"['Kansas', '<img src=""1280px-Kansas_in_United_States.svg.png"" />', 'KS', 'Wichita', 'Topeka', 'Colorado, Missouri, Nebraska, Oklahoma', '<img src=""0273f61c1ce802e26074f59920a9948c.gif"" />', 'The Sunflower State', '<img src=""blankmap.jpg"" />', 'y']",States
1292383012765,rsJDNz$]8M,1419257702,1606,[],"['Kentucky', '<img src=""1280px-Kentucky_in_United_States.svg.png"" />', 'KY', 'Louisville', 'Frankfort', 'Illinois, Indiana, Missouri, Ohio, Tennessee, Virginia, West Virginia', '<img src=""fb44dd4dcd4a4ef6ab06e6a4c4628914.gif"" />', 'The Bluegrass State', '<img src=""blankmap (1).jpg"" />', 'y']",States
1292383071397,mvmS]b:Fy8,1419257665,1606,[],"['Louisiana', '<img src=""1280px-Louisiana_in_United_States.svg.png"" />', 'LA', 'New Orleans', 'Baton Rouge', 'Arkansas, Mississippi, Texas', '<img src=""8643da16b0d05b367e85df34332e8ee7.gif"" />', 'The Pelican State', '<img src=""blankmap (1).jpg"" />', 'y']",States
1292383144703,mJ~ue_0J^^,1419257633,1606,[],"['Maine', '<img src=""1280px-Maine_in_United_States.svg.png"" />', 'ME', 'Portland', 'Augusta', 'New Hampshire', '<img src=""869ba026e8b941b04da682f752609d28.gif"" />', 'The Pine Tree State', '<img src=""blankmap.jpg"" />', 'y']",States
1292383206423,rvAL4b~obA,1419256376,1606,[],"['Maryland', '<img src=""1181px-Maryland_in_United_States.svg.png"" />', 'MD', 'Baltimore', 'Annapolis', 'Delaware, Pennsylvania, Virginia, West Virginia, Washington DC', '<img src=""b6581e4fa7951fa1ed21f2cf6a0153c4.gif"" />', 'The Old Line State', '<img src=""blankmap (1).jpg"" />', 'y']",States
1292383278039,bD*v.;zGg;,1419257605,1606,[],"['Massachusetts', '<img src=""1280px-Massachusetts_in_United_States.svg.png"" />', 'MA', 'Boston', 'Boston', 'Connecticut, New Hampshire, New York, Rhode Island, Vermont', '<img src=""49aa6c59ddd07582d2044836319b9ed7.gif"" />', 'The Bay State', '<img src=""blankmap.jpg"" />', 'y']",States
1292383332035,i]3[k4onV,1419257570,1606,[],"['Michigan', '<img src=""1280px-Michigan_in_United_States.svg.png"" />', 'MI', 'Detroit', 'Lansing', 'Wisconsin, Ohio, Indiana, Minnesota', '<img src=""fe6a46ca84cda1e2b66f7c7174298970.gif"" />', 'The Great Lakes State', '<img src=""blankmap.jpg"" />', 'y']",States
1292383404257,"o7zf]B|=r,",1419257538,1606,[],"['Minnesota', '<img src=""1280px-Minnesota_in_United_States.svg.png"" />', 'MN', 'Minneapolis', 'St. Paul', 'Iowa, Michigan, North Dakota, South Dakota, Wisconsin', '<img src=""f106a090449847680e394bfaaa20de5e.gif"" />', 'The North Star State', '<img src=""blankmap (1).jpg"" />', 'y']",States
1292383462949,e|e7hUp;s[,1419257333,1606,[],"['Mississippi', '<img src=""1280px-Mississippi_in_United_States.svg.png"" />', 'MS', 'Jackson', 'Jackson', 'Alabama, Arkansas, Louisiana, Tennessee', '<img src=""c4d415ad26736bcca201940815617e86.gif"" />', 'The Magnolia State', '<img src=""blankmap.jpg"" />', 'y']",States
1292383533220,nlpn[iDG<p,1419257306,1606,[],"['Missouri', '<img src=""1280px-Missouri_in_United_States.svg.png"" />', 'MO', 'Kansas City', 'Jefferson City', 'Arkansas, Illinois, Iowa, Kansas, Kentucky, Nebraska, Olklahoma, Tennessee', '<img src=""d804a440731a8779bb1aca46082c2c96.gif"" />', 'The Show Me State', '<img src=""blankmap.jpg"" />', 'y']",States
1292383602577,e:.09!f}?n,1419257281,1606,[],"['Montana', '<img src=""800px-Montana_in_United_States.svg.png"" />', 'MT', 'Billings', 'Helana', 'Idaho, North Dakota, South Dakota, Wyoming', '<img src=""a197ab316540a501a987f9ad4bda021e.gif"" />', 'The Treasure State', '<img src=""blankmap.jpg"" />', 'y']",States
1292383671328,g$h5:*YtC&,1419256562,1606,[],"['Nebraska', '<img src=""800px-Nebraska_in_United_States.svg.png"" />', 'NE', 'Omaha', 'Lincoln', 'Colorado, Iowa, Kansas, Missouri, South Dakota, Wyoming', '<img src=""3c2c6435ebf5b42211983acb96f501ed.gif"" />', 'The Cornhusker State', '<img src=""blankmap.jpg"" />', 'y']",States
1292383724499,fuQnXJc2px,1419249546,1606,[],"['Nevada', '<img src=""1181px-Nevada_in_United_States.svg.png"" />', 'NV', 'Las Vegas', 'Carson City', 'Arizona, Califorina, Idaho, Oregon, Utah', '<img src=""dd3a422611a7b75ba0343e65ecf46522.gif"" />', 'The Silver State', '<img src=""blankmap.jpg"" />', 'y']",States
1292383767160,kK@&t:~u=q,1419256590,1606,[],"['New Hampshire', '<img src=""800px-New_Hampshire_in_United_States.svg.png"" />', 'NH', 'Manchester', 'Concord', 'Maine, Massachusetts, Vermont', '<img src=""edf73d5125a883de1865548be68ba163.gif"" />', 'The Granite State', '<img src=""blankmap.jpg"" />', 'y']",States
1292383834888,uXe2i:h3=8,1419257248,1606,[],"['New Jersey', '<img src=""800px-New_Jersey_in_United_States.svg.png"" />', 'NJ', 'Newark', 'Trenton', 'New York, Pennsylvania, Delaware', '<img src=""7c0982eb8a0187791e07ab5cf120c199.gif"" />', 'The Garden State', '<img src=""blankmap (1).jpg"" />', 'y']",States
1292383902476,cLoPxH5XGE,1419257229,1606,[],"['New Mexico', '<img src=""800px-New_Mexico_in_United_States.svg.png"" />', 'NM', 'Alburquerque', 'Santa Fe', 'Arizona, colorado, Oklahoma, Texas, Utah', '<img src=""fca429e59f1c19bf965194560f70f20b.gif"" />', 'The Land of Enchantment', '<img src=""blankmap (1).jpg"" />', 'y']",States
1292383961787,!z3YYN1Ij,1419257193,1606,[],"['New York', '<img src=""800px-New_York_in_United_States.svg.png"" />', 'NY', 'New York City', 'Albany', 'Vermont, Massachusetts, Connecticut, New Jersey, Pennsylvania, Rhode Island', '<img src=""2009c68c5eab893f7c24e32ffe0178f5.gif"" />', 'The Empire State', '<img src=""blankmap.jpg"" />', 'y']",States
1292384022187,tTyd6LW{78,1419257170,1606,[],"['North Carolina', '<img src=""800px-North_Carolina_in_United_States.svg.png"" />', 'NC', 'Charlotte', 'Raleigh', 'Georgia, South Carolina, Tennessee, Virginia', '<img src=""630016bc5d4f1065d1bfb4a2c9ed8631.gif"" />', 'The Tar Heel State', '<img src=""blankmap.jpg"" />', 'y']",States
1292384076361,n;FcQ#0/P},1419257145,1606,[],"['North Dakota', '<img src=""800px-North_Dakota_in_United_States.svg.png"" />', 'ND', 'Fargo', 'Bismark', 'Minnesota, Montana, South Dakota', '<img src=""5a6ffd67e9b2072a80289f819edac26e.gif"" />', 'The Peace Garden State', '<img src=""blankmap (1).jpg"" />', 'y']",States
1292384137849,"pQnri,0/Sq",1419257128,1606,[],"['Ohio', '<img src=""800px-Ohio_in_United_States.svg.png"" />', 'OH', 'Columbus', 'Columbus', 'Pennsylvania, West Virginia, Kentucky, Indiana, Michigan', '<img src=""5828c4ec441742ebec7f597967b69c42.gif"" />', 'The Buckeye State', '<img src=""blankmap.jpg"" />', 'y']",States
1292384196274,gu7t26aP#M,1419257108,1606,[],"['Oklahoma', '<img src=""800px-Oklahoma_in_United_States.svg.png"" />', 'OK', 'Oklahoma City', 'Oklahoma city', 'Arkansas, Colorado, Kansas, Missouri, New Mexico, Texas', '<img src=""6ca6db5a72c46dbb221fd3e686fd8e90.gif"" />', 'The Sooner State', '<img src=""blankmap.jpg"" />', 'y']",States
1292384244726,lz8PT@(JB7,1419257083,1606,[],"['Oregon', '<img src=""800px-Oregon_in_United_States.svg.png"" />', 'OR', 'Portland', 'Salem', 'California, Idaho, Nevada, Washington', '<img src=""f1bf7c00342f31def89ac7215d5c4df9.gif"" />', 'The Beaver State', '<img src=""blankmap (1).jpg"" />', 'y']",States
1292384299428,$=Y/GJEa_,1419256396,1606,[],"['Pennsylvania', '<img src=""1181px-Pennsylvania_in_United_States.svg.png"" />', 'PA', 'Philadelphia', 'Harrisburg', 'New York, New Jersey, Delaware, Maryland, West Virginia, Ohio', '<img src=""93e15853e333628cf0a3ca7635cd5c2a.gif"" />', 'The Keystone State', '<img src=""blankmap.jpg"" />', 'y']",States
1292384375522,s+7?;H(v0n,1419256198,1606,[],"['Rhode Island', '<img src=""1920px-Rhode_Island_in_United_States_(zoom)_(extra_close)_(US48)-rotate.png"" />', 'RI', 'Providence', 'Providence', 'Connecticut, Massachusetts, New York', '<img src=""71602361a4180cda31ee5a2dcb3a137a.gif"" />', 'The Ocean State', '<img src=""blankmap (1).jpg"" />', 'y']",States
1292384462366,h|S0ggzM<z,1419257050,1606,[],"['South Carolina', '<img src=""800px-South_Carolina_in_United_States.svg.png"" />', 'SC', 'Columbia', 'Columbia', 'Georgia, North Carolina', '<img src=""9e38dc3ed66fd9014b9435ae003f535f.gif"" />', 'The Palmetto State', '<img src=""blankmap.jpg"" />', 'y']",States
1292384531439,r1i2ewa*w+,1419257028,1606,[],"['South Dakota', '<img src=""800px-South_Dakota_in_United_States.svg.png"" />', 'SD', 'Sioux Falls', 'Pierre', 'Iowa, Minnesota, Montana, Nebraska, North Dakota, Wyoming', '<img src=""a45d7e8e6a0d1ba3cacec7cc77ede451.gif"" />', 'The Mount Rushmore State', '<img src=""blankmap (1).jpg"" />', 'y']",States
1292384587383,dcmgPD+IY6,1419256997,1606,[],"['Tennessee', '<img src=""800px-Tennessee_in_United_States.svg.png"" />', 'TN', 'Memphis', 'Nashville', 'Alabama, Arkansas, Georgia, Kentucky, Mississippe, Missouri, North Carolina, Virginia', '<img src=""a1d2deeb1dad311e97ceebcdbcb79130.gif"" />', 'The Volunteer State', '<img src=""blankmap (1).jpg"" />', 'y']",States
1292384633907,s4HY@e{=9|,1662137553,1678,[],"['Texas', '<img src=""800px-Texas_in_United_States.svg.png"" />', 'TX', 'Houston', 'Austin', 'Arkansas, Louisiana, New Mexico, Oklahoma', '<img src=""8ee3b373282475774ab8960cfefa2474.gif"" />', 'The Lone Star State', '<img src=""blankmap.jpg"" />', 'y']",States
1292384691814,hpPfR+K;5d,1419249549,1606,[],"['Utah', '<img src=""1181px-Utah_in_United_States.svg.png"" />', 'UT', 'Salt Lake City', 'Salt Lake City', 'Arizona, Colorado, Idaho, Nevada, New Mexico, Wyoming', '<img src=""dee072c8bfc8f78e598fff3703b830fb.gif"" />', 'The Beehive State', '<img src=""blankmap.jpg"" />', 'y']",States
1292384739434,vuE]ZV|t-4,1419256617,1606,[],"['Vermont', '<img src=""800px-Vermont_in_United_States.svg.png"" />', 'VT', 'Burlington', 'Montpelier', 'Massachusetts, New Hampshire, New York', '<img src=""3442ea607856c287e8351e4cd348d3ac.gif"" />', 'The Green Mountain State', '<img src=""blankmap.jpg"" />', 'y']",States
1292384798267,rrqK~LJ9Nl,1419256901,1606,[],"['Virginia', '<img src=""800px-Virginia_in_United_States.svg.png"" />', 'VA', 'Virginia Beach', 'Richmond', 'Kentucky, Maryland, North Carolina, Tennessee, West Virginia, Washington DC', '<img src=""c78fae895e3479ae0043e868f3f0a14c.gif"" />', 'The Old Dominion State', '<img src=""blankmap.jpg"" />', 'y']",States
1292384839312,g+81b<sg]%,1419256880,1606,[],"['Washington', '<img src=""800px-Washington_in_United_States.svg.png"" />', 'WA', 'Seattle', 'Olympia', 'Idaho, Oregon', '<img src=""26155f083dd87370b42e3a85ea30e7ce.gif"" />', 'The Evergreen State', '<img src=""blankmap.jpg"" />', 'y']",States
1292384886718,"g&C,ed2EX@",1419256728,1606,[],"['West Virginia', '<img src=""800px-West_Virginia_in_United_States.svg.png"" />', 'WV', 'Charleston', 'Charleston', 'Kentucky, Maryland, Ohio, Pennsylvania, Virginia', '<img src=""c844815ed5b868205a99259794a5f077.gif"" />', 'The Mountain State', '<img src=""blankmap (1).jpg"" />', 'y']",States
1292384933247,h0HrY3TnHz,1419256666,1606,[],"['Wisconsin', '<img src=""800px-Wisconsin_in_United_States.svg.png"" />', 'WI', 'Milwaukee', 'Madison', 'Minnesota, Michigan, Iowa, Illinois', '<img src=""449b1eab09aa942e06b85bfced5a34bf.gif"" />', 'The Badger State', '<img src=""blankmap (1).jpg"" />', 'y']",States
1292384994697,d9gz&?^3tj,1419256641,1606,[],"['Wyoming', '<img src=""800px-Wyoming_in_United_States.svg.png"" />', 'WY', 'Cheyenne', 'Cheyenne', 'Colorado, Montana, Nebraska, South Dakota, Utah, Idaho', '<img src=""deaba9017da2cde0eb40514429987419.gif"" />', 'The Equality or Cowboy State', '<img src=""blankmap (1).jpg"" />', 'y']",States
1439138713070,c*&tW/=35^,1439139875,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp;&nbsp;', 'Open or close Start']",Basic
1439139880279,jTL#1h(U%8,1439139903,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp;+A&nbsp;', 'Open Action center']",Basic
1439139903306,"f-^&1=,UuB",1439139937,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +B', 'Set focus in the notification area']",Basic
1439139937657,MBM(T~$;v3,1439139956,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +C', 'Open Cortana in listening mode']",Basic
1439139956250,saD)4Kjk]M,1439141408,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +D', 'Display and hide the desktop']",Basic
1439139962185,Jh]{ei+j:@,1439140772,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +E', 'Open File Explorer']",Basic
1439139971112,"m2))5,&Tv{",1439140821,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +G', 'Open Game bar when a game is open']",Basic
1439139979378,g;hu:X3gLT,1439140835,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +H', 'Open the Share charm']",Basic
1439139983348,KHkLBq%9T/,1439140899,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +I', 'Open Settings']",Basic
1439139993683,x0[iOM&hp2,1439140907,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +K', 'Open the Connect quick action']",Basic
1439140000468,N;&p4MYw<A,1439140917,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +L', 'Lock your PC or switch accounts']",Basic
1439140006466,cbP=`U=M}k,1439140965,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +M', 'Minimize all windows']",Basic
1439140026518,lfR;3a^j`O,1439140989,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +O', 'Lock device orientation']",Basic
1439140029895,gw05C|NQW:,1439140996,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +P', 'Choose a presentation display mode']",Basic
1439140032652,dy!+5r=p~u,1439141464,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +R', 'Open the Run dialog box']",Basic
1439140138795,jZDvtYgvWS,1439141055,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +S', 'Open Search']",Basic
1439140146094,K$v3g^]kV/,1439141255,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +T', 'Cycle through apps on the taskbar']",Basic
1439140150455,.e3I>VrVX,1439141273,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +U', 'Open Ease of Access Center']",Basic
1439140157410,lfSlbn;p@.,1439141322,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +V', 'Cycle through notifications']",Basic
1439140163044,t<D[Fo)Vqt,1439141221,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +Shift+V', 'Cycle through notifications in reverse order']",Basic
1439140187906,f?(H0NUo}(,1439141330,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +X', 'Open the Quick Link menu']",Basic
1439140191353,Jl8sm3`+ed,1439141341,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +Z', 'Show the commands available in an app in full-screen mode']",Basic
1439140205331,rW9onSUDPL,1439140663,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +comma(,)', 'Temporarily peek at the desktop']",Basic
1439140228302,sH7Vunr@]%,1645128882,1088,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +pause', 'Display the System Properties dialog box<br>(Zeigt an, welche Hardware man hat/Windows Version etc.)']",Basic
1439140236179,pnAVvhvq/C,1439140697,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +Ctrl+F', 'Search for PCs (if you’re on a network)']",Basic
1439140250867,B$|XP)6058,1439141147,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +Shift+M', 'Restore minimized windows on the desktop']",Basic
1439140262123,ca*9Gs9Y.W,1439140980,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +number', 'Open the desktop and start the app pinned to the taskbar in the position indicated by the number. If the app is already running, switch to that app.']",Basic
1439140269632,rk}#hrt<s+,1439141163,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +shift+number', 'Open the desktop and start a new instance of the app pinned to the taskbar in the position indicated by the number']",Basic
1439140285523,fRLWn@<->W,1439140636,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +Alt+number', 'Open the desktop and open the Jump List for the app pinned to the taskbar in the position indicated by the number']",Basic
1439140297599,"x*9G.E3,r9",1439140728,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +Ctrl+Shift+number', 'Open the desktop and open a new instance of the app located at the given position on the taskbar as an administrator']",Basic
1439140314623,k3yh$)[#`!,1439141265,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +Tab', 'Cycle through recently used apps (except desktop apps)']",Basic
1439140322549,zp>)VS&m2K,1439140761,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +Ctrl+Tab', 'Cycle through recently used apps (except desktop apps)']",Basic
1439140342215,v&4/qPFV7?,1439141175,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +Shift+Tab', 'Cycle through recently used apps (except desktop apps) in reverse order']",Basic
1439140349945,tF!I%6j$PV,1439140681,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +Ctrl+B', 'Switch to the app that displayed a message in the notification area']",Basic
1439140355896,qBqJu.5:=j,1439141293,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +Up arrow', 'Maximize the window']",Basic
1439140365289,c<Wm1PW79n,1439140373,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +Down arrow', '']",Basic
1439140373646,i7jhcgSi_x,1439140947,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +Left arrow', 'Maximize the app or desktop window to the left side of the screen']",Basic
1439140385244,PB--Pl;:a3,1439141043,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +Right arrow', 'Maximize the app or desktop window to the right side of the screen']",Basic
1439140393251,qLhGZ9{}h},1439140882,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +Home', 'Minimize all but the active desktop window (restores all windows on second stroke)']",Basic
1439140397614,RfH0Y~7R$=,1439141200,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +Shift+Up arrow', 'Stretch the desktop window to the top and bottom of the screen']",Basic
1439140406611,CYVmE_KEG=,1439141094,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +Shift+Down arrow', 'Restore/minimize active desktop windows vertically, maintaining width']",Basic
1439140432410,EA0/%MA7[u,1439141113,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +Shift+Left arrow or Right arrow', 'Move an app or window in the desktop from one monitor to another']",Basic
1439140444046,eTl4.wcp~G,1439141242,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +Spacebar', 'Switch input language and keyboard layout']",Basic
1439140453037,CyiAKCtZTS,1439140743,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +Ctrl+Spacebar', 'Change to a previously selected input']",Basic
1439140463190,Kkrz*#LPx(,1439140787,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +Enter', 'Open Narrator']",Basic
1439140468890,v%HYl(I^ok,1439140810,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +forward slash (/)', 'Initiate IME reconversion']",Basic
1439140487382,H3o^%S/ZOt,1439140509,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +plus (+) or minus (-)', '']",Basic
1439140509277,Q1l6sqttB<,1439140797,1066,[],"['Windows Logo key&nbsp;<img src=""Windows Logo Key (2).png"" />&nbsp; +Esc', 'Exit Magnifier']",Basic
